,Region,Domain,Facility_ID
635,Brno-město,chirurgie,10424
636,Brno-město,chirurgie,10425
637,Brno-město,chirurgie,10426
638,Brno-město,chirurgie,10427
639,Brno-město,chirurgie,10428
640,Brno-město,chirurgie,10429
641,Brno-město,chirurgie,10430
642,Brno-město,chirurgie,11435
643,Brno-město,chirurgie,11565
644,Brno-město,chirurgie,11566
645,Brno-město,chirurgie,11567
646,Brno-město,chirurgie,11615
647,Brno-město,chirurgie,11795
648,Brno-město,chirurgie,12235
649,Brno-město,chirurgie,13771
650,Brno-město,chirurgie,13772
651,Brno-město,chirurgie,14090
652,Brno-město,chirurgie,14577
653,Brno-město,chirurgie,14930
654,Brno-město,chirurgie,18752
655,Brno-město,chirurgie,19600
656,Brno-město,chirurgie,19807
657,Brno-město,chirurgie,20747
658,Brno-město,chirurgie,20853
659,Brno-město,chirurgie,23973
660,Brno-město,chirurgie,24672
661,Brno-město,chirurgie,24703
662,Brno-město,chirurgie,24872
663,Brno-město,chirurgie,24953
664,Brno-město,chirurgie,25748
665,Brno-město,chirurgie,26675
666,Brno-město,chirurgie,27403
667,Brno-město,chirurgie,29257
668,Brno-město,chirurgie,31659
669,Brno-město,chirurgie,33514
670,Brno-město,chirurgie,33524
671,Brno-město,chirurgie,33864
672,Brno-město,chirurgie,34012
673,Brno-město,chirurgie,34181
674,Brno-město,chirurgie,34183
675,Brno-město,chirurgie,36377
676,Brno-město,chirurgie,40904
677,Brno-město,chirurgie,40909
678,Brno-město,chirurgie,43385
679,Brno-město,chirurgie,45375
680,Brno-město,chirurgie,45497
681,Brno-město,chirurgie,46839
682,Brno-město,chirurgie,47065
683,Brno-město,chirurgie,47066
684,Brno-město,chirurgie,47067
685,Brno-město,chirurgie,47068
686,Brno-město,chirurgie,47254
687,Brno-město,chirurgie,47255
688,Brno-město,chirurgie,47256
689,Brno-město,chirurgie,47257
690,Brno-město,chirurgie,47700
